year,month,tavg,tmin,tmax,
1961,1,-0.2,-6.6,1.4,
1961,2,2.5,-0.9,6.1,
1961,3,9,2.6,15.8,
1961,4,14.3,8,20.7,
1961,5,15.3,10.9,20.5,
1961,6,21.2,15.1,27.4,
1961,7,22.1,15.6,28.6,
1961,8,22,15.4,28.5,
1961,9,17.7,11.2,25.2,
1961,10,11.7,6.5,17.3,
1961,11,8.2,4.3,12.6,
1961,12,0,-3.6,3.4,
1962,1,-2.6,-4.8,1.1,
1962,2,-1,-3.7,2.3,
1962,3,3.5,-0.7,8.2,
1962,4,12.2,6.6,17.9,
1962,5,18.3,11.2,25.1,
1962,6,20.4,14,26.9,
1962,7,23.4,16.3,30.1,
1962,8,24.8,17.8,32.2,
1962,9,17.7,10.9,25.4,
1962,10,12.7,7.4,18.3,
1962,11,9.1,5.7,12.5,
1962,12,-2.4,-5.4,0.2,
1963,1,-7.8,-11.7,-4.7,
1963,2,-1,-4.4,1.7,
1963,3,2.6,-1.6,7.3,
1963,4,10.8,5.1,16.4,
1963,5,18.2,10.9,24.5,
1963,6,21.8,14.7,28.1,
1963,7,24,17.1,30.3,
1963,8,24.4,16.8,31.9,
1963,9,19.6,12.9,26.6,
1963,10,12.4,7,17.9,
1963,11,9.4,3.8,15.8,
1963,12,-1.6,-4.8,1,
1964,1,-5.2,-9.1,-1.2,
1964,2,-0.1,-3.7,2.9,
1964,3,3.6,-0.4,7.4,
1964,4,12.8,5.9,19.4,
1964,5,15.4,10.1,21.2,
1964,6,22.7,16.4,28.7,
1964,7,22.7,15.9,28.3,
1964,8,21,14.4,27.7,
1964,9,17,11.5,23.3,
1964,10,13.5,8.6,19.2,
1964,11,7,3.3,10.2,
1964,12,1.7,-1.2,4.6,
1965,1,0.3,-2.7,3.4,
1965,2,-5.4,-7.9,0.5,
1965,3,5,-0.3,10,
1965,4,8.5,3.8,13.9,
1965,5,16,10.3,21.9,
1965,6,21.5,15.4,28.2,
1965,7,22.4,16.5,31.7,
1965,8,21,14,28.5,
1965,9,18,12.2,27.5,
1965,10,11.2,5.3,18.7,
1965,11,4,0.4,8.4,
1965,12,2.4,-0.2,5.2,
1966,1,-1.5,-4.3,1.1,
1966,2,5,1.2,9.3,
1966,3,6.8,2.2,12.1,
1966,4,13.9,8.7,19.5,
1966,5,16.9,11.3,22.7,
1966,6,19.4,13.8,25.4,
1966,7,23.6,16.9,30.5,
1966,8,23.1,17.5,29.8,
1966,9,14.4,12.1,25.1,
1966,10,15.9,10.5,22.2,
1966,11,6.6,3.6,9,
1966,12,0.5,-2.3,3,
1967,1,-4,-8,-0.6,
1967,2,-0.6,-4.8,3.2,
1967,3,7,1.7,12.3,
1967,4,11.4,5.2,17.5,
1967,5,13.2,11.8,23.3,
1967,6,19.4,13.7,25.4,
1967,7,23.2,16.4,29.5,
1967,8,19,17.1,29.4,
1967,9,18.6,13.3,24.9,
1967,10,13.2,8.4,19.5,
1967,11,6.9,4,10.5,
1967,12,1.2,-2.7,3.9,
1968,1,-2.2,-5.9,0.8,
1968,2,2.5,-1,6.6,
1968,3,5.9,0.6,11.7,
1968,4,15.3,6.7,22.6,
1968,5,20.8,12.8,27.5,
1968,6,22.1,14.3,29,
