t_chg,date,tavg,tmin,tmax
-0.164,01/01/1961,-0.2,-6.6,1.4
1.07,01/02/1961,2.5,-0.9,6.1
2.669,01/03/1961,9.0,2.6,15.8
2.689,01/04/1961,14.3,8.0,20.7
-1.394,01/05/1961,15.3,10.9,20.5
0.756,01/06/1961,21.2,15.1,27.4
-0.544,01/07/1961,22.1,15.6,28.6
-0.058,01/08/1961,22.0,15.4,28.5
0.497,01/09/1961,17.7,11.2,25.2
0.875,01/10/1961,11.7,6.5,17.3
1.71,01/11/1961,8.2,4.3,12.6
-1.133,01/12/1961,0.0,-3.6,3.4
1.81,01/01/1962,-2.6,-4.8,1.1
-1.159,01/02/1962,-1.0,-3.7,2.3
-1.974,01/03/1962,3.5,-0.7,8.2
0.956,01/04/1962,12.2,6.6,17.9
0.627,01/05/1962,18.3,11.2,25.1
-0.994,01/06/1962,20.4,14.0,26.9
-0.665,01/07/1962,23.4,16.3,30.1
1.716,01/08/1962,24.8,17.8,32.2
-0.093,01/09/1962,17.7,10.9,25.4
0.51,01/10/1962,12.7,7.4,18.3
2.447,01/11/1962,9.1,5.7,12.5
-3.256,01/12/1962,-2.4,-5.4,0.2
-6.143,01/01/1963,-7.8,-11.7,-4.7
-1.901,01/02/1963,-1.0,-4.4,1.7
-2.377,01/03/1963,2.6,-1.6,7.3
-0.157,01/04/1963,10.8,5.1,16.4
1.116,01/05/1963,18.2,10.9,24.5
0.616,01/06/1963,21.8,14.7,28.1
1.533,01/07/1963,24.0,17.1,30.3
1.941,01/08/1963,24.4,16.8,31.9
1.667,01/09/1963,19.6,12.9,26.6
0.067,01/10/1963,12.4,7.0,17.9
3.306,01/11/1963,9.4,3.8,15.8
-3.103,01/12/1963,-1.6,-4.8,1.0
-3.927,01/01/1964,-5.2,-9.1,-1.2
-2.025,01/02/1964,-0.1,-3.7,2.9
-1.807,01/03/1964,3.6,-0.4,7.4
0.437,01/04/1964,12.8,5.9,19.4
-1.338,01/05/1964,15.4,10.1,21.2
2.313,01/06/1964,22.7,16.4,28.7
-0.102,01/07/1964,22.7,15.9,28.3
-1.18,01/08/1964,21.0,14.4,27.7
-0.58,01/09/1964,17.0,11.5,23.3
1.408,01/10/1964,13.5,8.6,19.2
0.39,01/11/1964,7.0,3.3,10.2
1.019,01/12/1964,1.7,-1.2,4.6
1.7,01/01/1965,0.3,-2.7,3.4
-4.452,01/02/1965,-5.4,-7.9,0.5
0.186,01/03/1965,5.0,-0.3,10.0
-2.376,01/04/1965,8.5,3.8,13.9
-1.06,01/05/1965,16.0,10.3,21.9
0.1,01/06/1965,21.5,15.4,28.2
0.053,01/07/1965,22.4,16.5,31.7
-1.758,01/08/1965,21.0,14.0,28.5
1.297,01/09/1965,18.0,12.2,27.5
-1.012,01/10/1965,11.2,5.3,18.7
-1.745,01/11/1965,4.0,0.4,8.4
1.46,01/12/1965,2.4,-0.2,5.2
-0.927,01/01/1966,-1.5,-4.3,1.1
5.11,01/02/1966,5.0,1.2,9.3
1.057,01/03/1966,6.8,2.2,12.1
2.124,01/04/1966,13.9,8.7,19.5
0.057,01/05/1966,16.9,11.3,22.7
-1.302,01/06/1966,19.4,13.8,25.4
0.275,01/07/1966,23.6,16.9,30.5
0.427,01/08/1966,23.1,17.5,29.8
-0.241,01/09/1966,14.4,12.1,25.1
4.171,01/10/1966,15.9,10.5,22.2
0.432,01/11/1966,6.6,3.6,9.0
-0.242,01/12/1966,0.5,-2.3,3.0
-2.482,01/01/1967,-4.0,-8.0,-0.6
-0.914,01/02/1967,-0.6,-4.8,3.2
1.348,01/03/1967,7.0,1.7,12.3
0.06,01/04/1967,11.4,5.2,17.5
0.619,01/05/1967,13.2,11.8,23.3
-0.945,01/06/1967,19.4,13.7,25.4
0.848,01/07/1967,23.2,16.4,29.5
0.681,01/08/1967,19.0,17.1,29.4
1.532,01/09/1967,18.6,13.3,24.9
2.179,01/10/1967,13.2,8.4,19.5
0.746,01/11/1967,6.9,4.0,10.5
-1.112,01/12/1967,1.2,-2.7,3.9
-1.314,01/01/1968,-2.2,-5.9,0.8
2.209,01/02/1968,2.5,-1.0,6.6
0.339,01/03/1968,5.9,0.6,11.7
2.602,01/04/1968,15.3,6.7,22.6
2.509,01/05/1968,20.8,12.8,27.5
0.84,01/06/1968,22.1,14.3,29.0
-0.546,01/07/1968,23.3,15.3,29.2
-1.251,01/08/1968,20.6,15.2,27.1
0.228,01/09/1968,17.8,12.7,24.1
-0.521,01/10/1968,10.6,6.4,17.5
1.207,01/11/1968,6.9,3.9,9.4
-1.858,01/12/1968,-0.4,-3.6,1.2
-3.417,01/01/1969,-5.7,-9.5,-2.7
-0.981,01/02/1969,-1.8,-5.1,1.0
-2.674,01/03/1969,0.5,-2.4,2.9
-1.148,01/04/1969,11.0,4.8,16.2
2.325,01/05/1969,19.9,12.3,26.3
-0.718,01/06/1969,19.8,14.2,25.3
-1.39,01/07/1969,20.8,15.1,26.0
-0.035,01/08/1969,22.3,15.7,28.6
0.261,01/09/1969,18.0,11.7,24.1
-0.309,01/10/1969,11.8,4.2,18.7
2.8,01/11/1969,9.5,3.1,16.0
-1.213,01/12/1969,0.6,-1.8,2.5
1.203,01/01/1970,0.5,-3.8,1.3
0.141,01/02/1970,0.8,-3.0,4.0
0.548,01/03/1970,6.6,1.6,11.3
1.067,01/04/1970,13.8,7.1,19.5
-1.381,01/05/1970,15.8,10.0,20.4
-0.254,01/06/1970,20.6,14.5,26.0
0.504,01/07/1970,23.4,16.6,28.7
-0.388,01/08/1970,21.8,15.5,27.2
-0.599,01/09/1970,17.4,10.3,23.8
-1.581,01/10/1970,10.2,4.9,16.2
1.191,01/11/1970,7.8,2.9,12.7
0.507,01/12/1970,2.2,-1.0,5.4
2.606,01/01/1971,1.3,-2.7,3.5
1.154,01/02/1971,1.9,-1.0,5.0
-1.293,01/03/1971,5.9,0.1,9.4
-0.02,01/04/1971,11.4,5.1,16.6
1.531,01/05/1971,17.4,11.9,23.1
-0.671,01/06/1971,20.5,13.5,26.4
-0.952,01/07/1971,21.2,15.7,26.8
0.89,01/08/1971,22.5,15.5,29.0
-2.039,01/09/1971,15.2,10.8,21.2
-1.585,01/10/1971,9.5,4.6,16.3
-0.575,01/11/1971,4.1,1.5,9.5
1.296,01/12/1971,2.0,-0.7,5.5
-0.249,01/01/1972,-2.5,-5.6,0.4
1.462,01/02/1972,0.6,-1.9,3.3
1.71,01/03/1972,6.1,-0.3,12.2
2.413,01/04/1972,14.1,8.1,20.8
0.469,01/05/1972,17.3,11.1,23.3
1.084,01/06/1972,22.1,14.7,28.2
0.962,01/07/1972,23.0,16.7,29.1
-0.316,01/08/1972,21.4,15.9,27.5
-2.192,01/09/1972,15.1,10.9,20.5
