,Area,Months,Element,Year,Temperature,Date,DateInt
0,Romania,1,Temperature change,1961,-0.164,1961-01-01,196101.0
2,Romania,2,Temperature change,1961,1.07,1961-02-01,196102.0
4,Romania,3,Temperature change,1961,2.669,1961-03-01,196103.0
6,Romania,4,Temperature change,1961,2.689,1961-04-01,196104.0
8,Romania,5,Temperature change,1961,-1.394,1961-05-01,196105.0
10,Romania,6,Temperature change,1961,0.756,1961-06-01,196106.0
12,Romania,7,Temperature change,1961,-0.544,1961-07-01,196107.0
14,Romania,8,Temperature change,1961,-0.058,1961-08-01,196108.0
16,Romania,9,Temperature change,1961,0.497,1961-09-01,196109.0
18,Romania,10,Temperature change,1961,0.875,1961-10-01,196110.0
20,Romania,11,Temperature change,1961,1.71,1961-11-01,196111.0
22,Romania,12,Temperature change,1961,-1.133,1961-12-01,196112.0
24,Romania,1,Temperature change,1962,1.81,1962-01-01,196201.0
26,Romania,2,Temperature change,1962,-1.159,1962-02-01,196202.0
28,Romania,3,Temperature change,1962,-1.974,1962-03-01,196203.0
30,Romania,4,Temperature change,1962,0.956,1962-04-01,196204.0
32,Romania,5,Temperature change,1962,0.627,1962-05-01,196205.0
34,Romania,6,Temperature change,1962,-0.994,1962-06-01,196206.0
36,Romania,7,Temperature change,1962,-0.665,1962-07-01,196207.0
38,Romania,8,Temperature change,1962,1.716,1962-08-01,196208.0
40,Romania,9,Temperature change,1962,-0.093,1962-09-01,196209.0
42,Romania,10,Temperature change,1962,0.51,1962-10-01,196210.0
44,Romania,11,Temperature change,1962,2.447,1962-11-01,196211.0
46,Romania,12,Temperature change,1962,-3.256,1962-12-01,196212.0
48,Romania,1,Temperature change,1963,-6.143,1963-01-01,196301.0
50,Romania,2,Temperature change,1963,-1.901,1963-02-01,196302.0
52,Romania,3,Temperature change,1963,-2.377,1963-03-01,196303.0
54,Romania,4,Temperature change,1963,-0.157,1963-04-01,196304.0
56,Romania,5,Temperature change,1963,1.116,1963-05-01,196305.0
58,Romania,6,Temperature change,1963,0.616,1963-06-01,196306.0
60,Romania,7,Temperature change,1963,1.533,1963-07-01,196307.0
62,Romania,8,Temperature change,1963,1.941,1963-08-01,196308.0
64,Romania,9,Temperature change,1963,1.667,1963-09-01,196309.0
66,Romania,10,Temperature change,1963,0.067,1963-10-01,196310.0
68,Romania,11,Temperature change,1963,3.306,1963-11-01,196311.0
70,Romania,12,Temperature change,1963,-3.103,1963-12-01,196312.0
72,Romania,1,Temperature change,1964,-3.927,1964-01-01,196401.0
74,Romania,2,Temperature change,1964,-2.025,1964-02-01,196402.0
76,Romania,3,Temperature change,1964,-1.807,1964-03-01,196403.0
78,Romania,4,Temperature change,1964,0.437,1964-04-01,196404.0
80,Romania,5,Temperature change,1964,-1.338,1964-05-01,196405.0
82,Romania,6,Temperature change,1964,2.313,1964-06-01,196406.0
84,Romania,7,Temperature change,1964,-0.102,1964-07-01,196407.0
86,Romania,8,Temperature change,1964,-1.18,1964-08-01,196408.0
88,Romania,9,Temperature change,1964,-0.58,1964-09-01,196409.0
90,Romania,10,Temperature change,1964,1.408,1964-10-01,196410.0
92,Romania,11,Temperature change,1964,0.39,1964-11-01,196411.0
94,Romania,12,Temperature change,1964,1.019,1964-12-01,196412.0
96,Romania,1,Temperature change,1965,1.7,1965-01-01,196501.0
